"Géographie";"Niveau Géo";"Fréquence";"Mesure du recensement ";"Catégorie de logement";"Lien à la personne de référence du ménage ";"Type de ménage et nombre d'enfants";"Profession et catégorie socioprofessionnelle (PCS)";Période;Valeur
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1162,045478
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1334,460021
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;164,365287
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;3262,378826
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;913,035732
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;101,121626
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;764
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;207,012256
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;842,599576
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;774,708404
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;29286,990396
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;36,403785
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;609,882375
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;531,66263
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;6213,904819
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;1177,252967
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;371,908885
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;94,702232
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;57,334767
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;52
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;76,317831
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;3,253289
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;429,127694
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;374,044589
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;88
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;32,35892
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;2121,211582
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1538,392168
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;40
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;17892,558942
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;243,641834
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;12,134595
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;969,146357
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;121,345952
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;4424
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;548,258406
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;661,196417
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;8456,463911
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;314,411411
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;193,677101
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;877,24334
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;387,224281
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;8300,32484
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;168,374197
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;1602,583071
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;1393,17978
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;15,908441
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;952,041702
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;157,757991
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;12
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;1012
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;2,910068
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;280
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;1368
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;436,722875
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;18,857197
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;220,49002
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;406,874418
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;2225,277564
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;548
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;170,136402
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;2432
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;558,245762
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;20945,585784
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;52,443961
