Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;11;Île-de-France;91;Essonne;91312;Igny;Brutes;ABC;Total;Total;450
2015-T4;11;Île-de-France;91;Essonne;91312;Igny;Brutes;ABC;Total;De 25 à 49 ans;270
2015-T4;11;Île-de-France;91;Essonne;91315;Itteville;Brutes;ABC;Total;Total;310
2015-T4;11;Île-de-France;91;Essonne;91315;Itteville;Brutes;ABC;Hommes;Total;170
2015-T4;11;Île-de-France;91;Essonne;91315;Itteville;Brutes;ABC;Total;De 25 à 49 ans;175
2015-T4;11;Île-de-France;91;Essonne;91315;Itteville;Brutes;ABC;Total;50 ans et plus;75
2015-T4;11;Île-de-France;91;Essonne;91318;Janville-sur-Juine;Brutes;ABC;Total;Total;90
2015-T4;11;Île-de-France;91;Essonne;91318;Janville-sur-Juine;Brutes;ABC;Total;50 ans et plus;25
2015-T4;11;Île-de-France;91;Essonne;91319;Janvry;Brutes;ABC;Total;Total;35
2015-T4;11;Île-de-France;91;Essonne;91319;Janvry;Brutes;ABC;Femmes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91319;Janvry;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91326;Juvisy-sur-Orge;Brutes;ABC;Femmes;Total;665
2015-T4;11;Île-de-France;91;Essonne;91326;Juvisy-sur-Orge;Brutes;ABC;Total;De 25 à 49 ans;980
2015-T4;11;Île-de-France;91;Essonne;91332;Leudeville;Brutes;ABC;Hommes;Total;30
2015-T4;11;Île-de-France;91;Essonne;91332;Leudeville;Brutes;ABC;Femmes;Total;40
2015-T4;11;Île-de-France;91;Essonne;91332;Leudeville;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91333;Leuville-sur-Orge;Brutes;ABC;Total;Moins de 25 ans;30
2015-T4;11;Île-de-France;91;Essonne;91333;Leuville-sur-Orge;Brutes;ABC;Total;De 25 à 49 ans;125
2015-T4;11;Île-de-France;91;Essonne;91333;Leuville-sur-Orge;Brutes;ABC;Total;50 ans et plus;75
2015-T4;11;Île-de-France;91;Essonne;91339;Linas;Brutes;ABC;Total;Total;360
2015-T4;11;Île-de-France;91;Essonne;91339;Linas;Brutes;ABC;Total;De 25 à 49 ans;220
2015-T4;11;Île-de-France;91;Essonne;91340;Lisses;Brutes;ABC;Femmes;Total;210
2015-T4;11;Île-de-France;91;Essonne;91340;Lisses;Brutes;ABC;Total;Moins de 25 ans;65
2015-T4;11;Île-de-France;91;Essonne;91340;Lisses;Brutes;ABC;Total;De 25 à 49 ans;240
2015-T4;11;Île-de-France;91;Essonne;91345;Longjumeau;Brutes;ABC;Femmes;Total;805
2015-T4;11;Île-de-France;91;Essonne;91345;Longjumeau;Brutes;ABC;Total;De 25 à 49 ans;1055
2015-T4;11;Île-de-France;91;Essonne;91345;Longjumeau;Brutes;ABC;Total;50 ans et plus;365
2015-T4;11;Île-de-France;91;Essonne;91347;Longpont-sur-Orge;Brutes;ABC;Femmes;Total;160
2015-T4;11;Île-de-France;91;Essonne;91347;Longpont-sur-Orge;Brutes;ABC;Total;Moins de 25 ans;50
2015-T4;11;Île-de-France;91;Essonne;91347;Longpont-sur-Orge;Brutes;ABC;Total;De 25 à 49 ans;180
2015-T4;11;Île-de-France;91;Essonne;91359;Maisse;Brutes;ABC;Total;Total;150
2015-T4;11;Île-de-France;91;Essonne;91359;Maisse;Brutes;ABC;Hommes;Total;90
2015-T4;11;Île-de-France;91;Essonne;91359;Maisse;Brutes;ABC;Total;Moins de 25 ans;25
2015-T4;11;Île-de-France;91;Essonne;91359;Maisse;Brutes;ABC;Total;50 ans et plus;40
2015-T4;11;Île-de-France;91;Essonne;91374;Marolles-en-Beauce;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91376;Marolles-en-Hurepoix;Brutes;ABC;Hommes;Total;120
2015-T4;11;Île-de-France;91;Essonne;91376;Marolles-en-Hurepoix;Brutes;ABC;Femmes;Total;115
2015-T4;11;Île-de-France;91;Essonne;91378;Mauchamps;Brutes;ABC;Femmes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91378;Mauchamps;Brutes;ABC;Total;De 25 à 49 ans;10
2015-T4;11;Île-de-France;91;Essonne;91386;Mennecy;Brutes;ABC;Femmes;Total;395
2015-T4;11;Île-de-France;91;Essonne;91390;Le Mérévillois;Brutes;ABC;Femmes;Total;125
2015-T4;11;Île-de-France;91;Essonne;91390;Le Mérévillois;Brutes;ABC;Total;De 25 à 49 ans;130
2015-T4;11;Île-de-France;91;Essonne;91393;Mérobert;Brutes;ABC;Total;Total;35
2015-T4;11;Île-de-France;91;Essonne;91393;Mérobert;Brutes;ABC;Total;De 25 à 49 ans;20
2015-T4;11;Île-de-France;91;Essonne;91399;Mespuits;Brutes;ABC;Hommes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91399;Mespuits;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;11;Île-de-France;91;Essonne;91399;Mespuits;Brutes;ABC;Total;De 25 à 49 ans;10
2015-T4;11;Île-de-France;91;Essonne;91405;Milly-la-Forêt;Brutes;ABC;Total;De 25 à 49 ans;125
2015-T4;11;Île-de-France;91;Essonne;91411;Les Molières;Brutes;ABC;Total;Total;55
2015-T4;11;Île-de-France;91;Essonne;91411;Les Molières;Brutes;ABC;Femmes;Total;30
2015-T4;11;Île-de-France;91;Essonne;91412;Mondeville;Brutes;ABC;Total;Total;30
2015-T4;11;Île-de-France;91;Essonne;91412;Mondeville;Brutes;ABC;Hommes;Total;15
2015-T4;11;Île-de-France;91;Essonne;91414;Monnerville;Brutes;ABC;Total;Total;15
2015-T4;11;Île-de-France;91;Essonne;91414;Monnerville;Brutes;ABC;Femmes;Total;10
2015-T4;11;Île-de-France;91;Essonne;91414;Monnerville;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91421;Montgeron;Brutes;ABC;Total;Moins de 25 ans;215
2015-T4;11;Île-de-France;91;Essonne;91425;Montlhéry;Brutes;ABC;Total;50 ans et plus;95
2015-T4;11;Île-de-France;91;Essonne;91432;Morangis;Brutes;ABC;Femmes;Total;380
2015-T4;11;Île-de-France;91;Essonne;91432;Morangis;Brutes;ABC;Total;Moins de 25 ans;130
2015-T4;11;Île-de-France;91;Essonne;91432;Morangis;Brutes;ABC;Total;De 25 à 49 ans;485
2015-T4;11;Île-de-France;91;Essonne;91432;Morangis;Brutes;ABC;Total;50 ans et plus;165
