"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Gif-sur-Yvette";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;224,099127
"Linas";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;23,139694
"Igny";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;23,352999
"Saint-Aubin";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;666,92168
"Wissous";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;303,249183
"Chilly-Mazarin";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;38,313383
"Chilly-Mazarin";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;150,771038
"Épinay-sur-Orge";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;19,459912
"Gif-sur-Yvette";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;302,523715
"Longjumeau";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;657,803363
"Igny";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;92,007753
"Nozay";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;49,708152
"Nozay";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;40,263787
"Linas";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;24,549773
"Wissous";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;16,911777
"Wissous";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;18,940724
"Nozay";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;42,176727
"Linas";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;92,070156
"Nozay";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;119,446236
"Nozay";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;13,952463
"Linas";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;53,890478
"Wissous";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;65,065283
"Wissous";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;14,127559
"Nozay";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;18,816398
"Wissous";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;74,168413
