"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2017;131
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2017;115
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2017;947
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2017;164
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2017;49
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2017;55
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2017;4257
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2018;120
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2018;48
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2018;24
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2018;390
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2018;116
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2018;94
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2018;107
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2018;513
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2018;15
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2018;92
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2018;113
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2018;97
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2018;105
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2018;322
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2018;164
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2018;94
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2018;23
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2018;134
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2018;131
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2018;5
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2018;95
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2018;964
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2018;30
