"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2019;15
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2019;6
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2019;20
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2019;119
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2019;131
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2019;45
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2019;67
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2019;8
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2019;20
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2019;74
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2019;49
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2019;59
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2019;113
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2019;100
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2019;182
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2019;1851
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2020;192
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2020;6
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2020;79
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2020;222
